benchmark_dir,ground_truth_kind,script_path,bug_id,bug_code,bug_description,bug_line,line_text,nesting_depth,statements_before,lukas-depth,fork_count,fork_path_factor,fork_count_prefix,fork_path_factor_prefix,loc,line_percentile
benchmarks/commits/const_cond,original,benchmarks/commits/const_cond/original.sh,bug00,const_cond,Branching on pipeline exit status with set -e,42,"		if [ $? -ne 0 ]; then # due to set -e, this can never be false",3,29,0,2,4,2,4,39,0.823529
benchmarks/commits/const_cond,buggy,benchmarks/commits/const_cond/posix.sh,bug00,const_cond,Branching on pipeline exit status with set -e,42,"		if [ $? -ne 0 ]; then # bug here: due to `set -e`, this can never be true",3,10,0,2,4,2,4,20,0.823529
benchmarks/commits/const_cond,fixed,benchmarks/commits/const_cond/fixed.sh,bug00,const_cond,Branching on pipeline exit status with set -e,43,		if [ $? -ne 0 ]; then,3,11,0,2,4,2,4,21,0.826923
benchmarks/commits/const_cond,buggy_variant,benchmarks/commits/const_cond/variants/bug-assign_first.sh,bug00,const_cond,Branching on pipeline exit status with set -e,43,"		if [ ""$return_code"" -ne 0 ]; then # bug here: due to `set -e`, this can never be true",3,11,0,2,4,2,4,21,0.826923
benchmarks/commits/const_cond,fixed_variant,benchmarks/commits/const_cond/variants/fix-test_eq_first.sh,bug00,const_cond,Branching on pipeline exit status with set -e,44,"		if [ ""$?"" -eq 0 ]; then",3,12,0,2,4,2,4,22,0.830189
benchmarks/commits/cp_nonexistent,original,benchmarks/commits/cp_nonexistent/original.sh,bug00,cmd_expected_path_state,A nonexistent file is copied to itself,27,    cp .env .env # bug here: .env does not exist,1,12,2,1,2,2,4,21,0.771429
benchmarks/commits/cp_nonexistent,buggy,benchmarks/commits/cp_nonexistent/posix.sh,bug00,cmd_expected_path_state,A nonexistent file is copied to itself,27,    cp .env .env # bug here: .env does not exist,1,12,2,1,2,2,4,21,0.771429
benchmarks/commits/cp_nonexistent,fixed,benchmarks/commits/cp_nonexistent/fixed.sh,bug00,cmd_expected_path_state,A nonexistent file is copied to itself,27,    cp .env.example .env # fix here: copy .env.example to .env instead of copying .env to itself,1,12,2,1,2,2,4,21,0.771429
benchmarks/commits/debootstrap,original,benchmarks/commits/debootstrap/original.sh,bug00,unused_loop_var,Variable in for loop is never used/For loop body is constant,47,"    if echo "" $WHAT_TO_DO "" | grep -q "" $1 ""; then return 0; fi",3,23,3,2,4,6,64,387,0.094949
benchmarks/commits/debootstrap,original,benchmarks/commits/debootstrap/original.sh,bug01,del_sys_file,An invocation of the script deletes the process working directory,488,"    rm -rf ""$TARGET""",2,287,31,2,4,74,18889465931478580854784,387,0.985859
benchmarks/commits/debootstrap,buggy,benchmarks/commits/debootstrap/posix.sh,bug00,unused_loop_var,Variable in for loop is never used/For loop body is constant,67,"    if echo "" $WHAT_TO_DO "" | grep -q "" $1 ""; then return 0; fi # bug here as well: should be $local_x and not $1",3,36,3,2,4,9,512,404,0.129344
benchmarks/commits/debootstrap,buggy,benchmarks/commits/debootstrap/posix.sh,bug01,del_sys_file,An invocation of the script deletes the process working directory,510,"    rm -rf ""$TARGET"" # bug here (cont'd): eventually, $TARGET is deleted, which is a directory not created by debootstrap",2,301,31,2,4,79,604462909807314587353088,404,0.984556
benchmarks/commits/debootstrap,fixed,benchmarks/commits/debootstrap/fixed.sh,bug01,del_sys_file,An invocation of the script deletes the process working directory,504,"    rm -rf ""$TARGET""",2,298,31,2,4,78,302231454903657293676544,400,0.986301
benchmarks/commits/debootstrap,fixed_variant,benchmarks/commits/debootstrap/variants/fix-assign_first.sh,bug01,del_sys_file,An invocation of the script deletes the process working directory,505,"    rm -rf ""$TARGET""/",2,299,31,2,4,78,302231454903657293676544,401,0.986328
benchmarks/commits/debootstrap_2,original,benchmarks/commits/debootstrap_2/original.sh,bug00,word_split_del_sys_file,Deletion of user-supplied directory without warning,706,"		rm -rf ""$TARGET""",2,438,44,2,4,113,10384593717069655257060992658440192,584,0.997175
benchmarks/commits/debootstrap_2,buggy,benchmarks/commits/debootstrap_2/posix.sh,bug00,word_split_del_sys_file,Deletion of user-supplied directory without warning,727,"		rm -rf ""$TARGET"" # bug here (cont'd): target deleted even though it doesn't make sense for this to happen (this is a stretch of ""bug"" for our case, i know)",2,452,45,2,4,129,680564733841876926926749214863536422912,601,0.997257
benchmarks/commits/debootstrap_2,fixed,benchmarks/commits/debootstrap_2/fixed.sh,bug00,word_split_del_sys_file,Deletion of user-supplied directory without warning,741,"		rm -rf --one-file-system ""$TARGET""",3,458,48,3,8,132,5444517870735015415413993718908291383296,609,0.997308
benchmarks/commits/ignored_command_v,original,benchmarks/commits/ignored_command_v/original.sh,bug00,not_a_command,Command is invoked after asserting it is not installed,111,  env zsh,1,71,13,0,1,15,32768,88,0.973684
benchmarks/commits/ignored_command_v,buggy,benchmarks/commits/ignored_command_v/posix.sh,bug00,not_a_command,Command is invoked after asserting it is not installed,113,  env zsh # bug here: zsh is used after line 29 asserts it is not installed,1,71,13,0,1,15,32768,88,0.974138
benchmarks/commits/ignored_command_v,fixed,benchmarks/commits/ignored_command_v/fixed.sh,bug00,not_a_command,Command is invoked after asserting it is not installed,113,  env zsh,1,71,13,0,1,15,32768,88,0.974138
benchmarks/commits/makefile,buggy,benchmarks/commits/makefile/posix.sh,bug00,del_sys_file,"If some externally-set variables are not set, root gets deleted",74,"    rm -rf ""${DESTDIR}${LIBDIR}/${CAMLP5N}"" # bug here: will delete / if variables not set",2,44,0,0,1,5,32,204,0.291339
benchmarks/commits/makefile,buggy,benchmarks/commits/makefile/posix.sh,bug00,del_sys_file,"If some externally-set variables are not set, root gets deleted",79,"    rm -rf ""${DESTDIR}${LIBDIR}/${CAMLP5N}"" # bug here: will delete / if variables not set",2,47,0,0,1,6,64,204,0.311024
benchmarks/commits/makefile,fixed,benchmarks/commits/makefile/fixed.sh,bug00,del_sys_file,"If some externally-set variables are not set, root gets deleted",82,"    rm -rf ""${DESTDIR}${LIBDIR}/${CAMLP5N}""",2,50,2,0,1,7,128,220,0.303704
benchmarks/commits/makefile,fixed,benchmarks/commits/makefile/fixed.sh,bug00,del_sys_file,"If some externally-set variables are not set, root gets deleted",95,"    rm -rf ""${DESTDIR}${LIBDIR}/${CAMLP5N}""",2,59,2,0,1,10,1024,220,0.351852
benchmarks/commits/makefile,buggy_variant,benchmarks/commits/makefile/variants/bug-assign_first.sh,bug00,del_sys_file,"If some externally-set variables are not set, root gets deleted",83,"    rm -rf ""${TO_DEL}"" # bug here: will delete / if variables not set",2,49,0,0,1,5,32,214,0.31203
benchmarks/commits/makefile,buggy_variant,benchmarks/commits/makefile/variants/bug-assign_first.sh,bug00,del_sys_file,"If some externally-set variables are not set, root gets deleted",90,"    rm -rf ""${TO_DEL}"" # bug here: will delete / if variables not set",2,54,0,0,1,6,64,214,0.338346
benchmarks/commits/unset_func,original,benchmarks/commits/unset_func/original.sh,bug00,function_use_before_def,Function is called before it is defined,73,"POST_1_7_2_GIT=$(git_compare_version ""1.7.2"")",0,41,0,0,1,0,1,73,0.768421
benchmarks/commits/unset_func,buggy,benchmarks/commits/unset_func/posix.sh,bug00,function_use_before_def,Function is called before it is defined,75,"POST_1_7_2_GIT=$(git_compare_version ""1.7.2"") # bug here: function is defined later",0,41,0,0,1,16,65536,89,0.614754
benchmarks/commits/unset_func,fixed,benchmarks/commits/unset_func/fixed.sh,bug00,function_use_before_def,Function is called before it is defined,120,"POST_1_7_2_GIT=$(git_compare_version ""1.7.2"")",0,68,0,0,1,18,262144,89,0.983607
benchmarks/commits/unset_func,buggy_variant,benchmarks/commits/unset_func/variants/bug-wrap_func.sh,bug00,function_use_before_def,Function is called before it is defined,75,"POST_1_7_2_GIT=$(git_compare_version ""1.7.2"") # bug here: function is defined later",0,41,0,0,1,16,65536,91,0.6
benchmarks/commits/unset_func,fixed_variant,benchmarks/commits/unset_func/variants/fix-func_redef.sh,bug00,function_use_before_def,Function is called before it is defined,124,"POST_1_7_2_GIT=$(git_compare_version ""1.7.2"")",0,70,0,0,1,18,262144,93,0.96124
benchmarks/commits/unset_var_2,original,benchmarks/commits/unset_var_2/original.sh,bug00,unbound,An unbound variable is used ($file),10,"if [[ -f ""${file}"" ]]; then",0,4,0,0,1,2,4,11,0.5
benchmarks/commits/unset_var_2,buggy,benchmarks/commits/unset_var_2/posix.sh,bug00,unbound,An unbound variable is used ($file),10,"if [ -f ""${file}"" ]; then # bug here: file is unset (unbound)",1,4,1,1,2,2,4,11,0.47619
benchmarks/commits/unset_var_2,fixed,benchmarks/commits/unset_var_2/fixed.sh,bug00,unbound,An unbound variable is used ($file),10,"if [ -f ""${FILE}"" ]; then",1,4,1,1,2,2,4,11,0.47619
benchmarks/commits/unset_var_2,buggy_variant,benchmarks/commits/unset_var_2/variants/bug-define_later.sh,bug00,unbound,An unbound variable is used ($file),10,"if [ -f ""${file}"" ]; then # bug here: file is unset (unbound)",1,4,1,1,2,2,4,12,0.434783
benchmarks/commits/unset_var_2,fixed_variant,benchmarks/commits/unset_var_2/variants/fix-init_func.sh,bug00,unbound,An unbound variable is used ($file),19,"if [ -f ""${file}"" ]; then # NO bug here: file is set",1,9,1,1,2,2,4,17,0.633333
benchmarks/commits/unset_var_3,original,benchmarks/commits/unset_var_3/original.sh,bug00,unbound,An unset variable is used ($file),25,for i in $HOME/.vim $HOME/.vimrc $HOME/.gvimrc; do [ -e $i ] && [ ! -L $file ] && mv $i $i.$today; done,1,12,0,3,8,4,16,37,0.490196
benchmarks/commits/unset_var_3,buggy,benchmarks/commits/unset_var_3/posix.sh,bug00,unbound,An unset variable is used ($file),25,for i in $HOME/.vim $HOME/.vimrc $HOME/.gvimrc; do [ -e $i ] && [ ! -L $file ] && mv $i $i.$today; done # bug here: file is unset (unbound),1,12,0,3,8,4,16,37,0.490196
benchmarks/commits/unset_var_3,fixed,benchmarks/commits/unset_var_3/fixed.sh,bug00,unbound,An unset variable is used ($file),25,for i in $HOME/.vim $HOME/.vimrc $HOME/.gvimrc; do [ -e $i ] && [ ! -L $i ] && mv $i $i.$today; done,1,12,0,3,8,4,16,37,0.490196
benchmarks/commits/unset_var_3,buggy_variant,benchmarks/commits/unset_var_3/variants/bug-define_later.sh,bug00,unbound,An unset variable is used ($file),25,for i in $HOME/.vim $HOME/.vimrc $HOME/.gvimrc; do [ -e $i ] && [ ! -L $file ] && mv $i $i.$today; done # bug here: file is unset (unbound),1,12,0,3,8,4,16,38,0.471698
benchmarks/commits/unset_var_3,fixed_variant,benchmarks/commits/unset_var_3/variants/fix-init_func.sh,bug00,unbound,An unset variable is used ($file),35,    [ -e $i ] && [ ! -L $file ] && mv $i $i.$today;,1,18,2,3,8,4,16,45,0.564516
benchmarks/commits/unset_var_5,original,benchmarks/commits/unset_var_5/original.sh,bug00,unbound,An unset variable is used ($_source),85,"  nvm_download -s ""$_source"" -o ""$NVM_DIR/nvm.sh"" || {",1,47,3,1,2,15,32768,134,0.494186
benchmarks/commits/unset_var_5,buggy,benchmarks/commits/unset_var_5/posix.sh,bug00,unbound,An unset variable is used ($_source),85,"  nvm_download -s ""$_source"" -o ""$NVM_DIR/nvm.sh"" || { # bug here: _source is unset",1,47,3,1,2,15,32768,136,0.488506
benchmarks/commits/unset_var_5,fixed,benchmarks/commits/unset_var_5/fixed.sh,bug00,unbound,An unset variable is used ($_source),85,"  nvm_download -s ""$local_NVM_SOURCE"" -o ""$NVM_DIR/nvm.sh"" || {",1,47,3,1,2,15,32768,136,0.488506
benchmarks/commits/unset_var_5,buggy_variant,benchmarks/commits/unset_var_5/variants/bug-assign_later.sh,bug00,unbound,An unset variable is used ($_source),85,"  nvm_download -s ""$_source"" -o ""$NVM_DIR/nvm.sh"" || { # bug here: _source is unset",1,47,3,1,2,15,32768,137,0.482955
benchmarks/commits/unset_var_set_u_1,original,benchmarks/commits/unset_var_set_u_1/original.sh,bug00,unbound_setu,An unset variable is checked for emptiness while set -u is enabled,16,"if [ -z ""${TEST_VM_NODE_NAMES}"" ]; then",1,6,1,1,2,5,32,36,0.340426
benchmarks/commits/unset_var_set_u_1,buggy,benchmarks/commits/unset_var_set_u_1/posix.sh,bug00,unbound_setu,An unset variable is checked for emptiness while set -u is enabled,16,"if [ -z ""${TEST_VM_NODE_NAMES}"" ]; then # bug here: ""set -u"" makes this fail if the variable is unset (but we don't want that)",1,5,1,1,2,2,4,35,0.340426
benchmarks/commits/unset_var_set_u_1,fixed,benchmarks/commits/unset_var_set_u_1/fixed.sh,bug00,unbound_setu,An unset variable is checked for emptiness while set -u is enabled,16,"if [ -z ""${TEST_VM_NODE_NAMES+x}"" ]; then",1,5,1,1,2,2,4,35,0.340426
benchmarks/commits/unset_var_set_u_2,original,benchmarks/commits/unset_var_set_u_2/original.sh,bug00,unbound_setu,An unset variable is appended to itself while set -u is enabled,15,# build audiowmark,0,8,0,0,1,0,1,11,0.833333
benchmarks/commits/unset_var_set_u_2,buggy,benchmarks/commits/unset_var_set_u_2/posix.sh,bug00,unbound_setu,An unset variable is appended to itself while set -u is enabled,15,export DYLD_LIBRARY_PATH=/usr/local/lib:$DYLD_LIBRARY_PATH # bug here: DYLD_LIBRARY_PATH could be empty but that's expected,0,7,0,0,1,0,1,11,0.789474
benchmarks/commits/unset_var_set_u_2,fixed,benchmarks/commits/unset_var_set_u_2/fixed.sh,bug00,unbound_setu,An unset variable is appended to itself while set -u is enabled,15,export DYLD_LIBRARY_PATH=/usr/local/lib:$DYLD_LIBRARY_PATH,0,7,0,0,1,0,1,11,0.789474
benchmarks/high_profile/c00-steam,original,benchmarks/high_profile/c00-steam/original.sh,bug00,word_split_del_sys_file,Everything under / is deleted when the script is invoked in certain ways,359,"	rm -rf ""$STEAMROOT/""*",1,201,7,0,1,52,4503599627370496,449,0.595357
benchmarks/high_profile/c00-steam,buggy,benchmarks/high_profile/c00-steam/posix.sh,bug00,word_split_del_sys_file,Everything under / is deleted when the script is invoked in certain ways,359,"	rm -rf ""$STEAMROOT/""* # bug here: will delete root if line 17 fails",1,201,7,0,1,47,140737488355328,449,0.595357
benchmarks/high_profile/c00-steam,fixed,benchmarks/high_profile/c00-steam/fixed.sh,bug00,word_split_del_sys_file,Everything under / is deleted when the script is invoked in certain ways,362,,1,203,0,0,1,48,281474976710656,452,0.595395
benchmarks/high_profile/c00-steam,buggy_variant,benchmarks/high_profile/c00-steam/variants/bug-move_trailing_slash.sh,bug00,word_split_del_sys_file,Everything under / is deleted when the script is invoked in certain ways,359,"	rm -rf ""$STEAMROOT""* # bug here: will delete root if line 17 fails",1,201,7,0,1,47,140737488355328,449,0.595357
benchmarks/high_profile/c00-steam,fixed_variant,benchmarks/high_profile/c00-steam/variants/fix-case_empty.sh,bug00,word_split_del_sys_file,Everything under / is deleted when the script is invoked in certain ways,362,"	rm -rf ""$STEAMROOT/""*",1,203,8,0,1,48,281474976710656,452,0.59736
benchmarks/high_profile/c00-steam,fixed_variant,benchmarks/high_profile/c00-steam/variants/fix-n_or_exit.sh,bug00,word_split_del_sys_file,Everything under / is deleted when the script is invoked in certain ways,360,"	rm -rf ""$STEAMROOT/""*",1,202,8,0,1,48,281474976710656,450,0.596026
benchmarks/high_profile/c01-bumblebee,original,benchmarks/high_profile/c01-bumblebee/original.sh,bug00,del_sys_file,/usr is deleted,351,  rm -rf /usr /lib/nvidia-current/xorg/xorg # bug here,1,233,13,1,2,40,1099511627776,661,0.430675
benchmarks/high_profile/c01-bumblebee,buggy,benchmarks/high_profile/c01-bumblebee/posix.sh,bug00,del_sys_file,/usr is deleted,350,  rm -rf /usr /lib/nvidia-current/xorg/xorg # bug here,1,233,13,1,2,31,2147483648,661,0.429975
benchmarks/high_profile/c01-bumblebee,fixed,benchmarks/high_profile/c01-bumblebee/fixed.sh,bug00,del_sys_file,/usr is deleted,350,  rm -rf /usr/lib/nvidia-current/xorg/xorg,1,233,13,1,2,31,2147483648,661,0.429975
benchmarks/high_profile/c01-bumblebee,buggy_variant,benchmarks/high_profile/c01-bumblebee/variants/bug-rm_loop.sh,bug00,del_sys_file,/usr is deleted,352,"    rm -rf ""$p""  # bug here",2,235,13,2,4,32,4294967296,665,0.430318
benchmarks/high_profile/c01-bumblebee,fixed_variant,benchmarks/high_profile/c01-bumblebee/variants/fix-rm_var.sh,bug00,del_sys_file,/usr is deleted,351,"  rm -rf ""/usr""""${REST_OF_PATH}""",1,234,13,1,2,31,2147483648,663,0.430147
benchmarks/high_profile/c02-n,original,benchmarks/high_profile/c02-n/original.sh,bug00,del_sys_file,Directories under /usr/local are deleted when an environment variable is unset,144,      ln -s $dir/$d $N_PREFIX/$d,4,65,8,2,4,12,4096,222,0.4
benchmarks/high_profile/c02-n,original,benchmarks/high_profile/c02-n/original.sh,bug01,word_split,Arbitrary files can be deleted due to word splitting if an environment variable is set and contains spaces,144,      ln -s $dir/$d $N_PREFIX/$d,4,65,8,2,4,12,4096,222,0.4
benchmarks/high_profile/c02-n,buggy,benchmarks/high_profile/c02-n/posix.sh,bug00,del_sys_file,Directories under /usr/local are deleted when an environment variable is unset,145,"      rm -rf $N_PREFIX/$d # bug here: if N_REFIX is not set externally, line 6 sets it to /usr/local",4,66,8,2,4,12,4096,246,0.376623
benchmarks/high_profile/c02-n,buggy,benchmarks/high_profile/c02-n/posix.sh,bug01,word_split,Arbitrary files can be deleted due to word splitting if an environment variable is set and contains spaces,145,"      rm -rf $N_PREFIX/$d # bug here: if N_REFIX is not set externally, line 6 sets it to /usr/local",4,66,8,2,4,12,4096,246,0.376623
benchmarks/high_profile/c02-n,fixed,benchmarks/high_profile/c02-n/fixed.sh,bug00,del_sys_file,Directories under /usr/local are deleted when an environment variable is unset,146,      && cp -fR $local_dir/include/node $N_PREFIX/include \,3,65,12,4,16,13,8192,246,0.379221
